Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,
8/15/2018 12:00,11.9,-11.06,-14.97,-4.61,16.04,,
8/15/2018 12:00,11.95,-9.62,-7.97,-12,-0.2,,
8/15/2018 12:00,12,-11.5,-11.22,-9.84,4.46,,
8/15/2018 12:00,12.05,-7.37,-6.82,-6.07,2.36,,
8/15/2018 12:00,12.1,-4.06,-1.58,-5.37,6.56,,
8/15/2018 12:00,12.15,0.7,4.15,-3.54,7.51,,
8/15/2018 12:00,12.2,6.76,10.13,0.71,8.66,,
8/15/2018 12:00,12.25,12.27,16.37,2.83,13.18,,
8/15/2018 12:00,12.3,17.99,21.87,6.19,17.12,,
8/15/2018 12:00,12.35,24.28,28.96,9.04,22,,
8/15/2018 12:00,12.4,32.55,33.91,14.12,26.89,,
8/15/2018 12:00,12.45,37.19,38.15,18.77,27.16,,
8/15/2018 12:00,12.5,39.18,38.91,18.98,28.92,,
8/15/2018 12:00,12.55,37.37,37.23,18.37,31.68,,
8/15/2018 12:00,12.6,28.37,29.98,13.51,28.98,,
8/15/2018 12:00,12.65,10.69,15,4.16,23.98,,
8/15/2018 12:00,12.7,0.41,0.23,-2.49,13.98,,
8/15/2018 12:00,12.75,-9.03,-12.74,-3.95,6.73,,
8/15/2018 12:00,12.8,-11.59,-16.66,-11.19,1.27,,
8/15/2018 12:00,12.85,-11.76,-17.12,-15.37,-1.13,,
8/15/2018 12:00,12.9,-11.72,-16.92,-13.91,-1.09,,
8/15/2018 12:00,12.95,-12.55,-16.46,-10.51,-1.09,,
8/15/2018 12:00,13,-12.39,-16.85,-19.89,-0.84,,
8/15/2018 12:00,13.05,-11.75,-17.23,-20.31,-1.87,,
8/15/2018 12:00,13.1,-12.81,-17.57,-20.6,-2.33,,
8/15/2018 12:00,13.15,-12.5,-17.28,-20.41,-1.91,,
8/15/2018 12:00,13.2,-12.18,-13.28,-20.78,-1.2,,
8/15/2018 12:00,13.25,-12.15,-15.73,-20.39,-1.41,,
8/15/2018 12:00,13.3,-12.29,-15.73,-20.26,-1.83,,
8/15/2018 12:00,13.35,-12.27,-14.55,-20.36,-1.75,,
8/15/2018 12:00,13.4,-12.2,-14.02,-20.42,-1.63,,
8/15/2018 12:00,13.45,-12.26,-13.61,-20.56,-1.61,,
8/15/2018 12:00,13.5,-12.25,-12.23,-20.74,-1.55,,
8/15/2018 12:00,13.55,-9.57,-10.69,-14.34,-0.23,,
8/15/2018 12:00,13.6,-10.89,-11.67,-18.07,3.59,,
8/15/2018 12:00,13.65,-11.31,-9.92,-10.06,-0.38,,
8/15/2018 12:00,13.7,-7.6,-6.29,-8.25,-0.07,,
8/15/2018 12:00,13.75,-6,-3.09,-2.8,1.05,,
8/15/2018 12:00,13.8,-1.82,1.37,0.31,1.84,,
8/15/2018 12:00,13.85,2.69,5.97,5.93,2.4,,
8/15/2018 12:00,13.9,7.08,10.82,9.93,5.51,,
8/15/2018 12:00,13.95,11.89,16.24,13.08,9.95,,
8/15/2018 12:00,14,18.6,21.75,15.67,15.08,,
8/15/2018 12:00,14.05,24.7,29.56,19.86,21.51,,
8/15/2018 12:00,14.1,31.02,34.77,22.39,26.62,,
8/15/2018 12:00,14.15,36.12,34.91,28.09,26.21,,
8/15/2018 12:00,14.2,38.22,35.48,29.04,24.16,,
8/15/2018 12:00,14.25,37.26,34.64,27.28,23.31,,
8/15/2018 12:00,14.3,27.53,28.54,22.95,21.43,,
8/15/2018 12:00,14.35,16.67,17.32,16.67,17.24,,
8/15/2018 12:00,14.4,7.19,8.19,9.27,14.31,,
8/15/2018 12:00,14.45,-2.1,-1.55,5.21,10.88,,
8/15/2018 12:00,14.5,-9.28,-9.83,0.69,6.88,,
8/15/2018 12:00,14.55,-11.18,-15.98,-8.55,7.12,,
8/15/2018 12:00,14.6,-12.01,-16.36,-16.21,4.05,,
8/15/2018 12:00,14.65,-11.76,-16.65,-18.24,2,,
8/15/2018 12:00,14.7,-12.2,-16.28,-18.43,-1.11,,
8/15/2018 12:00,14.75,-13.56,-16.78,-19.91,0.26,,
8/15/2018 12:00,14.8,-12.85,-17.28,-21.21,-2.32,,
8/15/2018 12:00,14.85,-12.54,-17.05,-21.06,-1.89,,
8/15/2018 12:00,14.9,-12.23,-17.04,-20.55,-1.99,,
8/15/2018 12:00,14.95,-12.4,-17.08,-20.35,-2.01,,
8/15/2018 12:00,15,-12.15,-14.97,-20.66,-1.91,,
8/15/2018 12:00,15.05,-12.37,-15.2,-20.3,-1.92,,
8/15/2018 12:00,15.1,-12.48,-15.95,-20.41,-1.84,,
8/15/2018 12:00,15.15,-12.2,-15.22,-20.48,-1.66,,
8/15/2018 12:00,15.2,-12.05,-13.79,-20.48,-1.69,,
8/15/2018 12:00,15.25,-12.01,-12.8,-20.5,-1.5,,
8/15/2018 12:00,15.3,-10.81,-15.71,-16.63,5.04,,
8/15/2018 12:00,15.35,-11.93,-15.51,-18.03,1.75,,
8/15/2018 12:00,15.4,-11.63,-9.38,-12.27,-0.62,,
8/15/2018 12:00,15.45,-9.93,-4.53,-3.8,0.6,,
8/15/2018 12:00,15.5,-5.09,1.29,1.07,1.11,,
8/15/2018 12:00,15.55,0.18,6.79,8.51,1.9,,
8/15/2018 12:00,15.6,6.73,12.27,13.55,2.45,,
8/15/2018 12:00,15.65,13.57,20.18,18.79,6.85,,
8/15/2018 12:00,15.7,21.48,27.3,28.82,15.98,,
8/15/2018 12:00,15.75,30.78,32.24,36.31,21.26,,
8/15/2018 12:00,15.8,43.77,36.56,43.11,25.5,,
8/15/2018 12:00,15.85,57.89,41.85,49.38,26.69,,
8/15/2018 12:00,15.9,67.75,48.66,52.71,28.78,,
8/15/2018 12:00,15.95,74.92,56.47,51.65,34.35,,
8/15/2018 12:00,16,75.62,59.07,49.18,37.59,,
8/15/2018 12:00,16.05,69.59,57.73,43.95,38.96,,
8/15/2018 12:00,16.1,56.24,51.76,35.23,37.08,,
8/15/2018 12:00,16.15,35.44,37.93,28.01,30.75,,
8/15/2018 12:00,16.2,13,21.44,18.49,22.64,,
8/15/2018 12:00,16.25,-0.39,5.6,7.27,15.17,,
8/15/2018 12:00,16.3,-9.82,-6.44,-0.95,7.93,,
8/15/2018 12:00,16.35,-11.83,-16.02,-16.52,10.53,,
8/15/2018 12:00,16.4,-12.39,-16.61,-19.94,7.22,,
8/15/2018 12:00,16.45,-12.08,-16.67,-20.5,5.21,,
8/15/2018 12:00,16.5,-11.44,-17.21,-19.29,-1.15,,
8/15/2018 12:00,16.55,-12.22,-17.44,-19.9,-1.42,,
8/15/2018 12:00,16.6,-12.08,-17.41,-20.16,-1.85,,
8/15/2018 12:00,16.65,-12.2,-13.9,-20.28,-1.74,,
8/15/2018 12:00,16.7,-12.28,-16.11,-20.5,-1.69,,
8/15/2018 12:00,16.75,-12.52,-16.51,-20.3,-1.79,,
8/15/2018 12:00,16.8,-12.44,-15.96,-20.29,-1.74,,
8/15/2018 12:00,16.85,-12.35,-15.33,-20.29,-1.72,,
8/15/2018 12:00,16.9,-12.17,-14.96,-20.28,-1.73,,
8/15/2018 12:00,16.95,-10.34,-15.59,-20.34,-1.87,,
8/15/2018 12:00,17,-11.64,-14.85,-20.33,-1.78,,
8/15/2018 12:00,17.05,-10.11,-12.54,-20.26,-1.72,,
8/15/2018 12:00,17.1,-11.29,-12.78,-11.7,-0.6,,
8/15/2018 12:00,17.15,-9.09,-7.93,-13.71,-0.72,,
8/15/2018 12:00,17.2,-6.01,-7.13,-10.88,-0.41,,
8/15/2018 12:00,17.25,-5.68,-1.12,-5.62,0.16,,
8/15/2018 12:00,17.3,-2.07,3.71,-6.11,0.22,,
8/15/2018 12:00,17.35,0.55,7.49,-2.96,0.69,,
8/15/2018 12:00,17.4,2.63,12.99,0.79,1.38,,
8/15/2018 12:00,17.45,6.46,20.43,6.85,2.35,,
