Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 12:10,9.9,-3.56,-12.38,-10.34,-0.7
9/17/2018 12:10,9.95,-4.08,-11.88,-10.63,-0.93
9/17/2018 12:10,10,-4.06,-11.73,-10.53,-0.96
9/17/2018 12:10,10.05,-4.02,-11.66,-10.41,-0.91
9/17/2018 12:10,10.1,-3.96,-11.67,-10.54,-0.86
9/17/2018 12:10,10.15,-4.06,-11.7,-10.53,-0.84
9/17/2018 12:10,10.2,-4.03,-11.57,-10.39,-0.74
9/17/2018 12:10,10.25,-3.94,-11.61,-10.21,-0.56
9/17/2018 12:10,10.3,-3.82,-11.72,-10.02,-0.36
9/17/2018 12:10,10.35,-3.95,-11.81,-10.12,-0.32
9/17/2018 12:10,10.4,-3.83,-11.94,-10.11,-0.19
9/17/2018 12:10,10.45,-3.68,-12.04,-10.04,-0.14
9/17/2018 12:10,10.5,-3.5,-12.11,-10.16,-0.19
9/17/2018 12:10,10.55,-3.5,-12.3,-10.47,-0.43
9/17/2018 12:10,10.6,-3.43,-12.26,-10.53,-0.52
9/17/2018 12:10,10.65,-3.23,-11.96,-10.44,-0.7
9/17/2018 12:10,10.7,-3.29,-11.9,-10.45,-0.73
9/17/2018 12:10,10.75,-3.56,-11.64,-10.3,-0.75
9/17/2018 12:10,10.8,-3.69,-11.38,-10.11,-0.55
9/17/2018 12:10,10.85,-3.75,-11.58,-10.19,-0.45
9/17/2018 12:10,10.9,-3.72,-11.96,-10.24,-0.43
9/17/2018 12:10,10.95,-3.96,-12.07,-10.45,-0.47
9/17/2018 12:10,11,-4.13,-11.97,-10.48,-0.17
9/17/2018 12:10,11.05,-3.82,-11.88,-10.46,-0.07
9/17/2018 12:10,11.1,-3.71,-11.84,-10.47,-0.07
9/17/2018 12:10,11.15,-3.75,-11.91,-10.38,-0.17
9/17/2018 12:10,11.2,-3.63,-11.81,-10.28,-0.19
9/17/2018 12:10,11.25,-3.51,-12.14,-10.34,-0.42
9/17/2018 12:10,11.3,-3.42,-12.2,-10.51,-0.39
9/17/2018 12:10,11.35,-3.44,-12.17,-10.55,-0.46
9/17/2018 12:10,11.4,-3.55,-12.01,-10.49,-0.59
9/17/2018 12:10,11.45,-3.62,-12.08,-10.74,-0.53
9/17/2018 12:10,11.5,-3.84,-11.79,-10.64,-0.51
9/17/2018 12:10,11.55,-3.14,-8.88,-10.23,-0.9
9/17/2018 12:10,11.6,-2.97,-4.58,-11.4,-0.62
9/17/2018 12:10,11.65,-1.28,-5.85,-10.21,-0.16
9/17/2018 12:10,11.7,1.01,-1.5,-9.99,-0.21
9/17/2018 12:10,11.75,1.6,1.16,-9.94,-0.14
9/17/2018 12:10,11.8,-1.08,2.46,-9.92,-0.76
9/17/2018 12:10,11.85,-2.4,-3.75,-0.66,15.53
